sequenceID	Genotype
MW158357	SouthAmerica1
MW158358	WestAfrica
MW158359	SouthAmerica2
MW158360	WestAfrica
MW158361	SouthAmerica2
MW158362	WestAfrica
MW158363	WestAfrica
MW158364	SouthAmerica1
MW158365	SouthAmerica1
MW158366	SouthAmerica1
MW158367	SouthAmerica1
MW249074	WestAfrica
MW249075	WestAfrica
MW249076	WestAfrica
MW249077	WestAfrica
MW249078	WestAfrica
MW249079	WestAfrica
MW249080	WestAfrica
MW249081	WestAfrica
MW249082	WestAfrica
MW249083	WestAfrica
MW249084	WestAfrica
MW249085	WestAfrica
MW249086	WestAfrica
MW249087	WestAfrica
MW249088	WestAfrica
MW249089	WestAfrica
MW249090	WestAfrica
MW249091	WestAfrica
MW249092	WestAfrica
MW249093	WestAfrica
MW249094	WestAfrica
MW249095	WestAfrica
MW308134	SouthAmerica1
MW308135	SouthAmerica1
MW960207	EastAfrica
MZ285906	WestAfrica
MZ595182	WestAfrica
MZ595183	WestAfrica
MZ595184	WestAfrica
MZ595185	WestAfrica
MZ595186	WestAfrica
MZ595187	WestAfrica
MZ595188	WestAfrica
MZ595189	WestAfrica
MZ595190	WestAfrica
MZ595191	WestAfrica
MZ595192	WestAfrica
MZ595193	WestAfrica
MZ595194	WestAfrica
MZ595195	WestAfrica
MZ595196	WestAfrica
MZ595197	WestAfrica
MZ595198	WestAfrica
MZ595199	WestAfrica
MZ595203	WestAfrica
MZ595204	WestAfrica
MZ604838	SouthAmerica1
MZ604839	SouthAmerica1
MZ604840	SouthAmerica1
MZ604841	SouthAmerica1
MZ604842	SouthAmerica1
MZ604843	SouthAmerica1
MZ604844	SouthAmerica1
MZ604845	SouthAmerica1
MZ604846	SouthAmerica1
MZ604847	SouthAmerica1
MZ604848	SouthAmerica1
MZ604849	SouthAmerica1
MZ604850	SouthAmerica1
MZ604851	SouthAmerica1
MZ604852	SouthAmerica1
MZ604853	SouthAmerica1
MZ604854	SouthAmerica1
MZ604855	SouthAmerica1
MZ604856	SouthAmerica1
MZ604857	SouthAmerica1
MZ604858	SouthAmerica1
MZ604859	SouthAmerica1
MZ604860	SouthAmerica1
MZ604861	SouthAmerica1
MZ604862	SouthAmerica1
MZ604863	SouthAmerica1
MZ604864	SouthAmerica1
MZ604865	SouthAmerica1
MZ604866	SouthAmerica1
MZ604867	SouthAmerica1
MZ604868	SouthAmerica1
MZ604869	SouthAmerica1
MZ604870	SouthAmerica1
MZ604871	SouthAmerica1
MZ604872	SouthAmerica1
MZ604873	SouthAmerica1
MZ604874	SouthAmerica1
MZ604875	SouthAmerica1
MZ604876	SouthAmerica1
MZ712127	SouthAmerica1
MZ712128	SouthAmerica1
MZ712129	SouthAmerica1
MZ712130	SouthAmerica1
MZ712131	SouthAmerica1
MZ712132	SouthAmerica1
MZ712133	SouthAmerica1
MZ712134	SouthAmerica1
MZ712135	SouthAmerica1
MZ712136	SouthAmerica1
MZ712137	SouthAmerica1
MZ712138	SouthAmerica1
MZ712139	SouthAmerica1
MZ712140	SouthAmerica1
MZ712141	SouthAmerica1
MZ712142	SouthAmerica1
MZ712143	SouthAmerica1
MZ712144	SouthAmerica1
MZ712145	SouthAmerica1
MZ712146	SouthAmerica1
MZ712147	SouthAmerica1
MZ712148	SouthAmerica1
MZ712149	SouthAmerica1
OF120366	WestAfrica
OF120367	WestAfrica
OF120368	WestAfrica
OF120369	WestAfrica
OF120370	WestAfrica
OF120371	WestAfrica
OF120372	WestAfrica
OF120373	WestAfrica
OK573009	WestAfrica
OL519587	SouthAmerica1
OL519588	SouthAmerica1
OL519589	SouthAmerica1
OM066735	WestAfrica
OM066736	WestAfrica
OM066737	WestAfrica
OM938988	WestAfrica
OM938989	WestAfrica
OM938990	WestAfrica
ON022238	SouthAmerica1
ON022239	SouthAmerica1
ON022240	SouthAmerica1
ON022241	SouthAmerica1
ON022242	SouthAmerica1
ON022243	SouthAmerica1
ON022244	SouthAmerica1
ON022245	SouthAmerica1
ON022246	SouthAmerica1
ON022247	SouthAmerica1
ON022248	SouthAmerica1
ON022249	SouthAmerica1
ON022250	SouthAmerica1
ON022251	SouthAmerica1
ON022252	SouthAmerica1
ON022253	SouthAmerica1
ON022254	SouthAmerica1
ON022255	SouthAmerica1
ON022256	SouthAmerica1
ON022257	SouthAmerica1
ON022258	SouthAmerica1
ON022259	SouthAmerica1
ON022260	SouthAmerica1
ON022261	SouthAmerica1
ON022262	SouthAmerica1
ON022263	SouthAmerica1
ON022264	SouthAmerica1
ON022265	SouthAmerica1
ON022266	SouthAmerica1
ON022267	SouthAmerica1
ON022268	SouthAmerica1
ON022269	SouthAmerica1
ON022270	SouthAmerica1
ON022271	SouthAmerica1
ON022272	SouthAmerica1
ON022273	SouthAmerica1
ON022274	SouthAmerica1
ON022275	SouthAmerica1
ON022276	SouthAmerica1
ON022277	SouthAmerica1
ON022278	SouthAmerica1
ON022279	SouthAmerica1
ON022280	SouthAmerica1
ON022281	SouthAmerica1
ON022282	SouthAmerica1
ON022283	SouthAmerica1
ON022284	SouthAmerica1
ON022285	SouthAmerica1
ON022286	SouthAmerica1
ON022287	SouthAmerica1
ON022288	SouthAmerica1
ON022289	SouthAmerica1
ON022290	SouthAmerica1
ON022291	SouthAmerica1
ON022292	SouthAmerica1
ON022293	SouthAmerica1
ON022294	SouthAmerica1
ON022295	SouthAmerica1
ON022296	SouthAmerica1
ON022297	SouthAmerica1
ON022298	SouthAmerica1
ON022299	SouthAmerica1
ON022300	SouthAmerica1
ON022301	SouthAmerica1
ON022302	SouthAmerica1
ON022303	SouthAmerica1
ON022304	SouthAmerica1
ON022305	SouthAmerica1
ON022306	SouthAmerica1
ON022307	SouthAmerica1
ON022308	SouthAmerica1
ON022309	SouthAmerica1
ON022310	SouthAmerica1
ON022311	SouthAmerica1
ON022312	SouthAmerica1
ON022313	SouthAmerica1
ON022314	SouthAmerica1
ON022315	SouthAmerica1
ON022316	SouthAmerica1
ON022317	SouthAmerica1
ON022318	SouthAmerica1
ON022319	SouthAmerica1
ON022320	SouthAmerica1
ON022321	SouthAmerica1
ON022322	SouthAmerica1
ON022323	SouthAmerica1
ON022324	SouthAmerica1
ON022325	SouthAmerica1
ON022326	SouthAmerica1
ON022327	SouthAmerica1
ON022328	SouthAmerica1
ON022329	SouthAmerica1
ON022330	SouthAmerica1
ON022331	SouthAmerica1
ON022332	SouthAmerica1
ON022333	SouthAmerica1
ON022334	SouthAmerica1
ON022335	SouthAmerica1
ON022336	SouthAmerica1
ON022337	SouthAmerica1
ON022338	SouthAmerica1
ON022339	SouthAmerica1
ON022340	SouthAmerica1
ON022341	SouthAmerica1
ON022342	SouthAmerica1
ON022343	SouthAmerica1
ON022344	SouthAmerica1
ON022345	SouthAmerica1
ON022346	SouthAmerica1
ON022347	SouthAmerica1
ON022348	SouthAmerica1
ON022349	SouthAmerica1
ON022350	SouthAmerica1
ON022351	SouthAmerica1
ON022352	SouthAmerica1
ON022353	SouthAmerica1
ON022354	SouthAmerica1
ON022355	SouthAmerica1
ON022356	SouthAmerica1
ON022357	SouthAmerica1
ON022358	SouthAmerica1
ON022359	SouthAmerica1
ON022360	SouthAmerica1
ON022361	SouthAmerica1
ON022362	SouthAmerica1
ON022363	SouthAmerica1
ON022364	SouthAmerica1
ON022365	SouthAmerica1
ON022366	SouthAmerica1
ON022367	SouthAmerica1
ON022368	SouthAmerica1
ON022369	SouthAmerica1
ON022370	SouthAmerica1
ON022371	SouthAmerica1
ON022372	SouthAmerica1
ON022373	SouthAmerica1
ON022374	SouthAmerica1
ON022375	SouthAmerica1
ON022376	SouthAmerica1
ON022377	SouthAmerica1
ON022378	SouthAmerica1
ON022379	SouthAmerica1
ON022380	SouthAmerica1
ON022381	SouthAmerica1
ON022382	SouthAmerica1
ON022383	SouthAmerica1
ON022384	SouthAmerica1
ON022385	SouthAmerica1
ON022386	SouthAmerica1
ON022387	SouthAmerica1
ON022388	SouthAmerica1
ON022389	SouthAmerica1
ON022390	SouthAmerica1
ON022391	SouthAmerica1
ON022392	SouthAmerica1
ON022393	SouthAmerica1
ON022394	SouthAmerica1
ON022395	SouthAmerica1
ON022396	SouthAmerica1
ON022397	SouthAmerica1
ON022398	SouthAmerica1
ON022399	SouthAmerica1
ON022400	SouthAmerica1
ON022401	SouthAmerica1
ON022402	SouthAmerica1
ON022403	SouthAmerica1
ON022404	SouthAmerica1
ON022405	SouthAmerica1
ON022406	SouthAmerica1
ON022407	SouthAmerica1
ON022408	SouthAmerica1
ON022409	SouthAmerica1
ON022410	SouthAmerica1
ON022411	SouthAmerica1
ON022412	SouthAmerica1
ON022413	SouthAmerica1
ON022414	SouthAmerica1
ON022415	SouthAmerica1
ON022416	SouthAmerica1
ON022417	SouthAmerica1
ON022418	SouthAmerica1
ON022419	SouthAmerica1
ON022420	SouthAmerica1
ON022421	SouthAmerica1
ON022422	SouthAmerica1
ON022423	SouthAmerica1
ON022424	SouthAmerica1
ON022425	SouthAmerica1
ON022426	SouthAmerica1
ON022427	SouthAmerica1
ON022428	SouthAmerica1
ON022429	SouthAmerica1
ON022430	SouthAmerica1
ON022431	SouthAmerica1
ON022432	SouthAmerica1
ON022433	SouthAmerica1
ON022434	SouthAmerica1
ON022435	SouthAmerica1
ON022436	SouthAmerica1
ON022437	SouthAmerica1
ON022438	SouthAmerica1
ON022439	SouthAmerica1
ON022440	SouthAmerica1
ON022441	SouthAmerica1
ON022442	SouthAmerica1
ON022443	SouthAmerica1
ON022444	SouthAmerica1
ON022445	SouthAmerica1
ON022446	SouthAmerica1
ON022447	SouthAmerica1
ON022448	SouthAmerica1
ON022449	SouthAmerica1
ON022450	SouthAmerica1
ON022451	SouthAmerica1
ON022452	SouthAmerica1
ON022453	SouthAmerica1
ON022454	SouthAmerica1
ON022455	SouthAmerica1
ON022456	SouthAmerica1
ON022457	SouthAmerica1
ON022458	SouthAmerica1
ON022459	SouthAmerica1
ON022460	SouthAmerica1
ON022461	SouthAmerica1
ON022462	SouthAmerica1
ON022463	SouthAmerica1
ON022464	SouthAmerica1
ON022465	SouthAmerica1
ON022466	SouthAmerica1
ON022467	SouthAmerica1
ON022468	SouthAmerica1
ON022469	SouthAmerica1
ON022470	SouthAmerica1
ON022471	SouthAmerica1
ON022472	SouthAmerica1
ON022473	SouthAmerica1
ON022474	SouthAmerica1
ON022475	SouthAmerica1
ON022476	SouthAmerica1
ON022477	SouthAmerica1
ON022478	SouthAmerica1
ON022479	SouthAmerica1
ON022480	SouthAmerica1
ON022481	SouthAmerica1
ON022482	SouthAmerica1
ON022483	SouthAmerica1
ON022484	SouthAmerica1
ON022485	SouthAmerica1
ON022486	SouthAmerica1
ON022487	SouthAmerica1
ON022488	SouthAmerica1
ON022489	SouthAmerica1
ON022490	SouthAmerica1
ON022491	SouthAmerica1
ON022492	SouthAmerica1
ON022493	SouthAmerica1
ON022494	SouthAmerica1
ON022495	SouthAmerica1
ON022496	SouthAmerica1
ON022497	SouthAmerica1
ON022498	SouthAmerica1
ON022499	SouthAmerica1
ON022500	SouthAmerica1
ON022501	SouthAmerica1
ON022502	SouthAmerica1
ON022503	SouthAmerica1
ON022504	SouthAmerica1
ON022505	SouthAmerica1
ON022506	SouthAmerica1
ON022507	SouthAmerica1
ON022508	SouthAmerica1
ON022509	SouthAmerica1
ON022510	SouthAmerica1
ON022511	SouthAmerica1
ON022512	SouthAmerica1
ON022513	SouthAmerica1
ON022514	SouthAmerica1
ON022515	SouthAmerica1
ON022516	SouthAmerica1
ON022517	SouthAmerica1
ON022518	SouthAmerica1
ON022519	SouthAmerica1
ON022520	SouthAmerica1
ON022521	SouthAmerica1
ON022522	SouthAmerica1
ON022523	SouthAmerica1
ON022524	SouthAmerica1
ON022525	SouthAmerica1
ON022526	SouthAmerica1
ON022527	SouthAmerica1
ON022528	SouthAmerica1
ON022529	SouthAmerica1
ON022530	SouthAmerica1
ON022531	SouthAmerica1
ON022532	SouthAmerica1
ON022533	SouthAmerica1
ON022534	SouthAmerica1
ON022535	SouthAmerica1
ON022536	SouthAmerica1
ON022537	SouthAmerica1
ON022538	SouthAmerica1
ON022539	SouthAmerica1
ON022540	SouthAmerica1
ON022541	SouthAmerica1
ON022542	SouthAmerica1
ON022543	SouthAmerica1
ON022544	SouthAmerica1
ON022545	SouthAmerica1
ON022546	SouthAmerica1
ON022547	SouthAmerica1
ON022548	SouthAmerica1
ON022549	SouthAmerica1
ON022550	SouthAmerica1
ON022551	SouthAmerica1
ON022552	SouthAmerica1
ON022553	SouthAmerica1
ON022554	SouthAmerica1
ON022555	SouthAmerica1
ON022556	SouthAmerica1
ON022557	SouthAmerica1
ON022558	SouthAmerica1
ON022559	SouthAmerica1
ON022560	SouthAmerica1
ON022561	SouthAmerica1
ON022562	SouthAmerica1
ON022563	SouthAmerica1
ON022564	SouthAmerica1
ON022565	SouthAmerica1
ON022566	SouthAmerica1
ON022567	SouthAmerica1
ON022568	SouthAmerica1
ON022569	SouthAmerica1
ON022570	SouthAmerica1
ON022571	SouthAmerica1
ON022572	SouthAmerica1
ON022573	SouthAmerica1
ON022574	SouthAmerica1
ON022575	SouthAmerica1
ON022576	SouthAmerica1
ON022577	SouthAmerica1
ON022578	SouthAmerica1
ON022579	SouthAmerica1
ON022580	SouthAmerica1
ON022581	SouthAmerica1
ON022582	SouthAmerica1
ON022583	SouthAmerica1
ON022584	SouthAmerica1
ON022585	SouthAmerica1
ON022586	SouthAmerica1
ON022587	SouthAmerica1
ON022588	SouthAmerica1
ON022589	SouthAmerica1
ON022590	SouthAmerica1
ON022591	SouthAmerica1
ON022592	SouthAmerica1
ON022593	SouthAmerica1
ON022594	SouthAmerica1
ON022595	SouthAmerica1
ON022596	SouthAmerica1
ON022597	SouthAmerica1
ON022598	SouthAmerica1
ON022599	SouthAmerica1
ON022600	SouthAmerica1
ON022601	SouthAmerica1
ON022602	SouthAmerica1
ON022603	SouthAmerica1
ON022604	SouthAmerica1
ON022605	SouthAmerica1
ON022606	SouthAmerica1
ON022607	SouthAmerica1
ON022608	SouthAmerica1
ON022609	SouthAmerica1
ON022610	SouthAmerica1
ON022611	SouthAmerica1
ON022612	SouthAmerica1
ON022613	SouthAmerica1
ON022614	SouthAmerica1
ON022615	SouthAmerica1
ON022616	SouthAmerica1
ON022617	SouthAmerica1
ON022618	SouthAmerica1
ON022619	SouthAmerica1
ON022620	SouthAmerica1
ON022621	SouthAmerica1
ON022622	SouthAmerica1
ON022623	SouthAmerica1
ON022624	SouthAmerica1
ON022625	SouthAmerica1
ON022626	SouthAmerica1
ON022627	SouthAmerica1
ON022628	SouthAmerica1
ON022629	SouthAmerica1
ON022630	SouthAmerica1
ON022631	SouthAmerica1
ON022632	SouthAmerica1
ON022633	SouthAmerica1
ON022634	SouthAmerica1
ON022635	SouthAmerica1
ON022636	SouthAmerica1
ON022637	SouthAmerica1
ON022638	SouthAmerica1
ON022639	SouthAmerica1
ON022640	SouthAmerica1
ON022641	SouthAmerica1
ON022642	SouthAmerica1
ON022643	SouthAmerica1
ON022644	SouthAmerica1
ON022645	SouthAmerica1
ON022646	SouthAmerica1
ON022647	SouthAmerica1
ON022648	SouthAmerica1
ON022649	SouthAmerica1
ON022650	SouthAmerica1
ON022651	SouthAmerica1
ON022652	SouthAmerica1
ON022653	SouthAmerica1
ON022654	SouthAmerica1
ON022655	SouthAmerica1
ON022656	SouthAmerica1
ON022657	SouthAmerica1
ON022658	SouthAmerica1
ON022659	SouthAmerica1
ON022660	SouthAmerica1
ON022661	SouthAmerica1
ON022662	SouthAmerica1
ON022663	SouthAmerica1
ON022664	SouthAmerica1
ON022665	SouthAmerica1
ON022666	SouthAmerica1
ON022667	SouthAmerica1
ON022668	SouthAmerica1
ON022669	SouthAmerica1
ON022670	SouthAmerica1
ON022671	SouthAmerica1
ON022672	SouthAmerica1
ON022673	SouthAmerica1
ON022674	SouthAmerica1
ON022675	SouthAmerica1
ON022676	SouthAmerica1
ON022677	SouthAmerica1
ON022678	SouthAmerica1
ON022679	SouthAmerica1
ON022680	SouthAmerica1
ON022681	SouthAmerica1
ON022682	SouthAmerica1
ON022683	SouthAmerica1
ON022684	SouthAmerica1
ON022685	SouthAmerica1
ON022686	SouthAmerica1
ON022687	SouthAmerica1
ON022688	SouthAmerica1
ON022689	SouthAmerica1
ON022690	SouthAmerica1
ON022691	SouthAmerica1
ON022692	SouthAmerica1
ON022693	SouthAmerica1
ON022694	SouthAmerica1
ON022695	SouthAmerica1
ON022696	SouthAmerica1
ON022697	SouthAmerica1
ON022698	SouthAmerica1
ON022699	SouthAmerica1
ON022700	SouthAmerica1
ON022701	SouthAmerica1
ON022702	SouthAmerica1
ON022703	SouthAmerica1
ON022704	SouthAmerica1
ON022705	SouthAmerica1
ON022706	SouthAmerica1
ON022707	SouthAmerica1
ON022708	SouthAmerica1
ON022709	SouthAmerica1
ON022710	SouthAmerica1
ON022711	SouthAmerica1
ON022712	SouthAmerica1
ON022713	SouthAmerica1
ON022714	SouthAmerica1
ON022715	SouthAmerica1
ON022716	SouthAmerica1
ON022717	SouthAmerica1
ON022718	SouthAmerica1
ON022719	SouthAmerica1
ON022720	SouthAmerica1
ON022721	SouthAmerica1
ON022722	SouthAmerica1
ON022723	SouthAmerica1
ON022724	SouthAmerica1
ON022725	SouthAmerica1
ON022726	SouthAmerica1
ON022727	SouthAmerica1
ON022728	SouthAmerica1
ON022729	SouthAmerica1
ON022730	SouthAmerica1
ON022731	SouthAmerica1
ON022732	SouthAmerica1
ON022733	SouthAmerica1
ON022734	SouthAmerica1
ON022735	SouthAmerica1
ON022736	SouthAmerica1
