source.name	sequenceID	pubmed_id	length	genotype	isolate_data.country
ncbi-curated	KM388816	-	10236	SouthAmerica1	Venezuela: Monagas
ncbi-curated	KM388817	-	10236	SouthAmerica1	Venezuela: Guarico
ncbi-curated	KM388818	-	10236	SouthAmerica1	Venezuela: Barinas
ncbi-curated	KU921608	-	10823	EastAfrica	China
ncbi-curated	KU949599	-	10759	EastAfrica	-
ncbi-curated	KU978763	-	10804	WestAfrica	Nigeria
ncbi-curated	KU978764	-	10824	WestAfrica	Sudan
ncbi-curated	KU978765	-	10851	WestAfrica	Guinea-Bissau
ncbi-curated	KX010994	-	10823	EastAfrica	China
ncbi-curated	KX010995	-	10822	EastAfrica	China
ncbi-curated	KX010996	-	10823	EastAfrica	China
ncbi-curated	KX027336	-	10823	EastAfrica	China
ncbi-curated	KX268355	-	10825	EastAfrica	China
ncbi-curated	KX982182	28402771	10623	EastAfrica	Angola
ncbi-curated	KY495641	-	10783	EastAfrica	China
ncbi-curated	KY587416	-	10763	EastAfrica	China
ncbi-curated	KY873606	-	9519	EastAfrica	China
ncbi-curated	KY873607	-	10744	EastAfrica	China
ncbi-curated	KY873608	-	10345	EastAfrica	China
ncbi-curated	LP837229	-	10838	WestAfrica	-
ncbi-curated	LP837643	-	10838	WestAfrica	-
ncbi-curated	LP981866	-	10838	WestAfrica	-
ncbi-curated	LQ460610	-	8681	WestAfrica	-
ncbi-curated	LQ564352	-	8681	WestAfrica	-
ncbi-curated	LY683279	-	10862	WestAfrica	-
ncbi-curated	LY683293	-	10862	WestAfrica	-
ncbi-curated	LY720078	-	10862	WestAfrica	-
ncbi-curated	MA388208	-	8681	WestAfrica	-
ncbi-curated	MF004382	-	10795	SouthAmerica2	Bolivia
ncbi-curated	MF004383	-	10822	EastAfrica	Sudan
ncbi-curated	MF170968	29427798	10236	SouthAmerica1	Brazil: ES, Marechal Floriano
ncbi-curated	MF170969	29427798	10236	SouthAmerica1	Brazil: ES, Casimiro de Abreu
ncbi-curated	MF170970	29427798	10236	SouthAmerica1	Brazil: ES, Domingos Martins
ncbi-curated	MF170971	29427798	10236	SouthAmerica1	Brazil: MG, Sao Roque de Minas
ncbi-curated	MF170972	29427798	10236	SouthAmerica1	Brazil: ES, Cariacica
ncbi-curated	MF170973	29427798	10236	SouthAmerica1	Brazil: ES, Domingos Martins
ncbi-curated	MF170974	29427798	10236	SouthAmerica1	Brazil: ES, Cariacica
ncbi-curated	MF170975	29427798	10236	SouthAmerica1	Brazil: ES, Brejetuba
ncbi-curated	MF170976	29427798	10236	SouthAmerica1	Brazil: ES, Laranja da Terra
ncbi-curated	MF170977	29427798	10236	SouthAmerica1	Brazil: ES, Conceicao do Castelo
ncbi-curated	MF170978	29427798	10236	SouthAmerica1	Brazil: ES, Santa Maria de Jetiba
ncbi-curated	MF170979	29427798	10236	SouthAmerica1	Brazil: ES, Santa Maria de Jetiba
ncbi-curated	MF170980	29427798	10236	SouthAmerica1	Brazil: ES, Alfredo Chaves
ncbi-curated	MF170981	29427798	10236	SouthAmerica1	Brazil: ES, Santa Leopoldina
ncbi-curated	MF185660	29427798	7969	SouthAmerica1	Brazil: RJ, Sao Sebastiao do Alto
ncbi-curated	MF185661	29427798	6995	SouthAmerica1	Brazil: RJ, Porciuncula
ncbi-curated	MF289572	-	10839	WestAfrica	Singapore
ncbi-curated	MF347613	-	10212	SouthAmerica1	Suriname
ncbi-curated	MF370530	-	10885	SouthAmerica1	Brazil
ncbi-curated	MF370533	-	10881	SouthAmerica1	Brazil
ncbi-curated	MF370535	-	10897	SouthAmerica1	Brazil
ncbi-curated	MF370542	-	10898	SouthAmerica1	Brazil
ncbi-curated	MF370547	-	10998	SouthAmerica1	Brazil
ncbi-curated	MF370549	-	10581	SouthAmerica1	Brazil
ncbi-curated	MF405338	-	10395	WestAfrica	Ghana
ncbi-curated	MF465805	-	10948	SouthAmerica1	Brazil
ncbi-curated	MF926243	-	10195	WestAfrica	France
ncbi-curated	MG051217	29580693	10730	WestAfrica	-
ncbi-curated	MG051218	29580693	10727	WestAfrica	-
ncbi-curated	MG589641	-	10789	EastAfrica	China
ncbi-curated	MG922934	-	10786	WestAfrica	Germany
ncbi-curated	MH018064	-	10213	SouthAmerica1	Brazil: Minas Gerais, Santa Rita de Caldas
ncbi-curated	MH018065	-	10213	SouthAmerica1	Brazil: Minas Gerais, Delfinopolis
ncbi-curated	MH018066	-	10213	SouthAmerica1	Brazil: Minas Gerais, Ouro Fino
ncbi-curated	MH018067	-	10213	SouthAmerica1	Brazil: Minas Gerais, Caldas
ncbi-curated	MH018068	-	10213	SouthAmerica1	Brazil: Minas Gerais, Caratinga
ncbi-curated	MH018069	-	9509	SouthAmerica1	Brazil: Minas Gerais, Ladainha
ncbi-curated	MH018070	-	10213	SouthAmerica1	Brazil: Minas Gerais, Itambacuri
ncbi-curated	MH018071	-	9925	SouthAmerica1	Brazil: Minas Gerais, Novo Cruzeiro
ncbi-curated	MH018072	-	10213	SouthAmerica1	Brazil: Minas Gerais, Itambacuri
ncbi-curated	MH018073	-	10213	SouthAmerica1	Brazil: Minas Gerais, Teofilo Otoni
ncbi-curated	MH018074	-	10213	SouthAmerica1	Brazil: Minas Gerais, Novo Cruzeiro
ncbi-curated	MH018075	-	9519	SouthAmerica1	Brazil: Minas Gerais, Pote
ncbi-curated	MH018076	-	10213	SouthAmerica1	Brazil: Minas Gerais, Setubinha
ncbi-curated	MH018077	-	10213	SouthAmerica1	Brazil: Minas Gerais, Ladainha
ncbi-curated	MH018078	-	10213	SouthAmerica1	Brazil: Minas Gerais, Novo Cruzeiro
ncbi-curated	MH018079	-	10213	SouthAmerica1	Brazil: Minas Gerais, Itambacuri
ncbi-curated	MH018080	-	10213	SouthAmerica1	Brazil: Minas Gerais, Ladainha
ncbi-curated	MH018081	-	10213	SouthAmerica1	Brazil: Minas Gerais, Aguanil
ncbi-curated	MH018082	-	10213	SouthAmerica1	Brazil: Minas Gerais, Claraval
ncbi-curated	MH018083	-	10213	SouthAmerica1	Brazil: Minas Gerais, Abre Campo
ncbi-curated	MH018084	-	10213	SouthAmerica1	Brazil: Minas Gerais, Ladainha
ncbi-curated	MH018085	-	10213	SouthAmerica1	Brazil: Minas Gerais, Imbe de Minas
ncbi-curated	MH018086	-	9519	SouthAmerica1	Brazil: Minas Gerais, Ladainha
ncbi-curated	MH018087	-	10213	SouthAmerica1	Brazil: Minas Gerais, Teofilo Otoni
ncbi-curated	MH018088	-	10213	SouthAmerica1	Brazil: Minas Gerais, Teofilo Otoni
ncbi-curated	MH018089	-	10213	SouthAmerica1	Brazil: Minas Gerais, Ladainha
ncbi-curated	MH018090	-	10213	SouthAmerica1	Brazil: Minas Gerais, Caratinga
ncbi-curated	MH018091	-	10213	SouthAmerica1	Brazil: Minas Gerais, Novo Cruzeiro
ncbi-curated	MH018092	-	10213	SouthAmerica1	Brazil: Minas Gerais, Itambacuri
ncbi-curated	MH018093	-	10213	SouthAmerica1	Brazil: Minas Gerais, Santa Barbara Leste
ncbi-curated	MH018094	-	10213	SouthAmerica1	Brazil: Minas Gerais, Simonesia
ncbi-curated	MH018095	-	10213	SouthAmerica1	Brazil: Minas Gerais, Sabinopolis
ncbi-curated	MH018096	-	10213	SouthAmerica1	Brazil: Minas Gerais, Jose Raydan
ncbi-curated	MH018097	-	10212	SouthAmerica1	Brazil: Minas Gerais, Luisburgo
ncbi-curated	MH018098	-	10213	SouthAmerica1	Brazil: Minas Gerais, Chapada Gaucha
ncbi-curated	MH018099	-	10169	SouthAmerica1	Brazil: Bahia, Cordeiros
ncbi-curated	MH018100	-	10169	SouthAmerica1	Brazil: Minas Gerais
ncbi-curated	MH018101	-	10169	SouthAmerica1	Brazil: Minas Gerais
ncbi-curated	MH018102	-	10215	SouthAmerica1	Brazil: Espirito Santo, Domingos Martins
ncbi-curated	MH018103	-	10194	SouthAmerica1	Brazil: Minas Gerais, Novo Cruzeiro
ncbi-curated	MH018104	-	10195	SouthAmerica1	Brazil: Minas Gerais, Itambacuri
ncbi-curated	MH018105	-	10194	SouthAmerica1	Brazil: Minas Gerais, Teofilo Otoni
ncbi-curated	MH018106	-	10213	SouthAmerica1	Brazil: Minas Gerais, Coronel Murta
ncbi-curated	MH018107	-	10218	SouthAmerica1	Brazil: Espirito Santo, Vitoria
ncbi-curated	MH018108	-	10191	SouthAmerica1	Brazil: Espirito Santo, Cariacica
ncbi-curated	MH018109	-	10195	SouthAmerica1	Brazil: Espirito Santo, Cariacica
ncbi-curated	MH018110	-	10195	SouthAmerica1	Brazil: Espirito Santo, Cariacica
ncbi-curated	MH018111	-	10195	SouthAmerica1	Brazil: Espirito Santo, Domingos Martins
ncbi-curated	MH018112	-	10216	SouthAmerica1	Brazil: Rio de Janeiro, Marica
ncbi-curated	MH018113	-	10195	SouthAmerica1	Brazil: Rio de Janeiro, Casimiro de Abreu
ncbi-curated	MH018114	-	10233	SouthAmerica1	Brazil: Espirito Santo, Itarana
ncbi-curated	MH018115	-	10233	SouthAmerica1	Brazil: Espirito Santo, Venda Nova do Imigrante
ncbi-curated	MH030049	-	10169	SouthAmerica1	Brazil: Sao Paulo, Vinhedo
ncbi-curated	MH030050	-	10169	SouthAmerica1	Brazil: Sao Paulo, Louveira
ncbi-curated	MH030051	-	10169	SouthAmerica1	Brazil: Sao Paulo, Louveira
ncbi-curated	MH030052	-	10169	SouthAmerica1	Brazil: Sao Paulo, Louveira
ncbi-curated	MH030053	-	10169	SouthAmerica1	Brazil: Sao Paulo, Itatiba
ncbi-curated	MH030054	-	10169	SouthAmerica1	Brazil: Sao Paulo, Jundiai
ncbi-curated	MH030055	-	10169	SouthAmerica1	Brazil: Sao Paulo, Jundiai
ncbi-curated	MH030056	-	10169	SouthAmerica1	Brazil: Sao Paulo, Jundiai
ncbi-curated	MH030057	-	10169	SouthAmerica1	Brazil: Sao Paulo, Braganca Paulista
ncbi-curated	MH030058	-	10169	SouthAmerica1	Brazil: Sao Paulo, Itatiba
ncbi-curated	MH030059	-	10169	SouthAmerica1	Brazil: Sao Paulo, Itatiba
ncbi-curated	MH030060	-	10169	SouthAmerica1	Brazil: Sao Paulo, Itatiba
ncbi-curated	MH030061	-	10169	SouthAmerica1	Brazil: Sao Paulo, Itatiba
ncbi-curated	MH030062	-	10169	SouthAmerica1	Brazil: Sao Paulo, Itatiba
ncbi-curated	MH030063	-	10169	SouthAmerica1	Brazil: Sao Paulo, Itatiba
ncbi-curated	MH030064	-	10169	SouthAmerica1	Brazil: Sao Paulo, Jundiai
ncbi-curated	MH030065	-	10169	SouthAmerica1	Brazil: Sao Paulo, Jundiai
ncbi-curated	MH030066	-	10169	SouthAmerica1	Brazil: Sao Paulo, Jundiai
ncbi-curated	MH030067	-	10169	SouthAmerica1	Brazil: Sao Paulo, Jundiai
ncbi-curated	MH030068	-	10169	SouthAmerica1	Brazil: Sao Paulo, Jundiai
ncbi-curated	MH030069	-	10169	SouthAmerica1	Brazil: Sao Paulo, SaoPaulo
ncbi-curated	MH030070	-	10169	SouthAmerica1	Brazil: Sao Paulo, Campo Limpo Paulista
ncbi-curated	MH030071	-	10169	SouthAmerica1	Brazil: Sao Paulo, Campo Limpo Paulista
ncbi-curated	MH030072	-	10169	SouthAmerica1	Brazil: Sao Paulo, Jarinu
ncbi-curated	MH030073	-	10169	SouthAmerica1	Brazil: Sao Paulo, Mairipora
ncbi-curated	MH030074	-	10169	SouthAmerica1	Brazil: Sao Paulo, Jarinu
ncbi-curated	MH030075	-	10169	SouthAmerica1	Brazil: Sao Paulo, Jarinu
ncbi-curated	MH030076	-	10169	SouthAmerica1	Brazil: Sao Paulo, Jarinu
ncbi-curated	MH030077	-	10169	SouthAmerica1	Brazil: Sao Paulo, Jarinu
ncbi-curated	MH030078	-	10169	SouthAmerica1	Brazil: Sao Paulo, Morungaba
ncbi-curated	MH030079	-	10169	SouthAmerica1	Brazil: Sao Paulo, Nazare Paulista
ncbi-curated	MH030080	-	10169	SouthAmerica1	Brazil: Sao Paulo, Nazare Paulista
ncbi-curated	MH030081	-	10169	SouthAmerica1	Brazil: Sao Paulo, Campo Limpo
ncbi-curated	MH030082	-	10169	SouthAmerica1	Brazil: Sao Paulo, Campo Limpo
ncbi-curated	MH030083	-	10169	SouthAmerica1	Brazil: Sao Paulo, Campo Limpo
ncbi-curated	MH030084	-	10169	SouthAmerica1	Brazil: Sao Paulo, Piracaia
ncbi-curated	MH030085	-	10169	SouthAmerica1	Brazil: Sao Paulo, Piracaia
ncbi-curated	MH030086	-	10169	SouthAmerica1	Brazil: Sao Paulo, Piracaia
ncbi-curated	MH030087	-	10169	SouthAmerica1	Brazil: Sao Paulo, Americana
ncbi-curated	MH030088	-	10169	SouthAmerica1	Brazil: Sao Paulo, Tuiuti
ncbi-curated	MH030089	-	10169	SouthAmerica1	Brazil: Sao Paulo, Sao Joao Boa Vista
ncbi-curated	MH030090	-	10169	SouthAmerica1	Brazil: Sao Paulo, Sao Joao Boa Vista
ncbi-curated	MH030091	-	10169	SouthAmerica1	Brazil: Sao Paulo, Campinas
ncbi-curated	MH193173	-	10169	SouthAmerica1	Brazil: Sao Paulo, Guarulhos
ncbi-curated	MH193174	-	10169	SouthAmerica1	Brazil: Sao Paulo, Mairipora
ncbi-curated	MH193175	-	10169	SouthAmerica1	Brazil: Sao Paulo, Sao Paulo Zoologico
ncbi-curated	MH329655	-	10169	SouthAmerica1	Brazil
ncbi-curated	MH378284	-	10172	SouthAmerica1	Brazil
ncbi-curated	MH444794	30194325	10841	WestAfrica	France
ncbi-curated	MH444795	30194325	10844	WestAfrica	France
ncbi-curated	MH444796	30194325	10846	WestAfrica	France
ncbi-curated	MH444797	30194325	10846	WestAfrica	France
ncbi-curated	MH444798	30194325	10851	WestAfrica	Senegal
ncbi-curated	MH484423	-	9475	SouthAmerica1	Brazil: Minas Gerais, Jose Raydan
ncbi-curated	MH484424	-	10169	SouthAmerica1	Brazil: Minas Gerais, Teofilo Otoni
ncbi-curated	MH484425	-	10169	SouthAmerica1	Brazil: Minas Gerais, Teofilo Otoni
ncbi-curated	MH484426	-	9758	SouthAmerica1	Brazil: Minas Gerais, Itamarandiba
ncbi-curated	MH484427	-	10169	SouthAmerica1	Brazil: Minas Gerais, Felicio dos Santos
ncbi-curated	MH484428	-	10169	SouthAmerica1	Brazil: Minas Gerais, Teofilo Otoni
ncbi-curated	MH484429	-	10169	SouthAmerica1	Brazil: Minas Gerais, Chapada Gaucha
ncbi-curated	MH484430	-	10169	SouthAmerica1	Brazil: Minas Gerais, Sacramento
ncbi-curated	MH484431	-	9763	SouthAmerica1	Brazil: Minas Gerais, Juatuba
ncbi-curated	MH484432	-	9763	SouthAmerica1	Brazil: Minas Gerais, Bom Jesus do Galho
ncbi-curated	MH484433	-	9763	SouthAmerica1	Brazil: Minas Gerais, Sao Roque de Minas
ncbi-curated	MH484434	-	10169	SouthAmerica1	Brazil: Minas Gerais, Sao Joao Evangelista
ncbi-curated	MH560359	-	10780	SouthAmerica1	Brazil
ncbi-curated	MH633684	-	10420	EastAfrica	China
ncbi-curated	MH633685	-	10420	EastAfrica	China
ncbi-curated	MH633686	-	10420	EastAfrica	China
ncbi-curated	MH633687	-	10568	EastAfrica	China
ncbi-curated	MH633688	-	10420	EastAfrica	China
ncbi-curated	MH633689	-	10243	EastAfrica	China
ncbi-curated	MH633690	-	10221	EastAfrica	China
ncbi-curated	MH633691	-	10838	EastAfrica	China
ncbi-curated	MH633692	-	10310	EastAfrica	China
ncbi-curated	MH666056	-	10236	SouthAmerica1	Brazil
ncbi-curated	MH666057	-	10185	SouthAmerica1	Brazil
ncbi-curated	MH666058	-	10239	SouthAmerica1	Brazil
ncbi-curated	MH666059	-	9678	SouthAmerica1	Brazil
ncbi-curated	MH666060	-	10233	SouthAmerica1	Brazil
ncbi-curated	MK060080	30254315	10195	WestAfrica	Senegal
ncbi-curated	MK089775	-	10354	SouthAmerica1	Brazil: Marica - RJ
ncbi-curated	MK249065	-	10164	SouthAmerica1	Brazil
ncbi-curated	MK249066	-	10164	SouthAmerica1	Brazil
ncbi-curated	MK292067	30696531	10770	WestAfrica	Netherlands
ncbi-curated	MK333805	31178835	10354	SouthAmerica1	Brazil: Ilha Grande - RJ
ncbi-curated	MK457700	-	10493	WestAfrica	Nigeria
ncbi-curated	MK457701	-	10684	WestAfrica	Nigeria
ncbi-curated	MK457703	-	7419	WestAfrica	Nigeria
ncbi-curated	MK583147	31892699	10946	SouthAmerica1	Brazil: Sao Paulo, Mairipora
ncbi-curated	MK583148	31892699	10975	SouthAmerica1	Brazil: Sao Paulo, Mairipora
ncbi-curated	MK583149	31892699	10999	SouthAmerica1	Brazil: Sao Paulo, Sao Paulo
ncbi-curated	MK583150	31892699	10991	SouthAmerica1	Brazil: Sao Paulo, Itaquaquecetuba
ncbi-curated	MK583151	31892699	10953	SouthAmerica1	Brazil: Sao Paulo, Mairipora
ncbi-curated	MK583152	31892699	10984	SouthAmerica1	Brazil: Sao Paulo, Ibiuna
ncbi-curated	MK583153	31892699	10995	SouthAmerica1	Brazil: Sao Paulo, Mairipora
ncbi-curated	MK583154	31892699	10993	SouthAmerica1	Brazil: Sao Paulo, Sao Paulo
ncbi-curated	MK583155	31892699	10992	SouthAmerica1	Brazil: Sao Paulo, Mairipora
ncbi-curated	MK583156	31892699	10941	SouthAmerica1	Brazil: Sao Paulo, Atibaia
ncbi-curated	MK583157	31892699	10949	SouthAmerica1	Brazil: Sao Paulo, Guarulhos
ncbi-curated	MK583158	31892699	10995	SouthAmerica1	Brazil: Sao Paulo, Mairipora
ncbi-curated	MK583159	31892699	10998	SouthAmerica1	Brazil: Sao Paulo, Atibaia
ncbi-curated	MK583160	31892699	10968	SouthAmerica1	Brazil: Sao Paulo, Cotia
ncbi-curated	MK583161	31892699	10945	SouthAmerica1	Brazil: Sao Paulo, Itaquaquecetuba
ncbi-curated	MK583162	31892699	10999	SouthAmerica1	Brazil: Sao Paulo, Sao Paulo
ncbi-curated	MK583163	31892699	10944	SouthAmerica1	Brazil: Sao Paulo, Sao Paulo
ncbi-curated	MK583164	31892699	10999	SouthAmerica1	Brazil: Sao Paulo, Cotia
ncbi-curated	MK583165	31892699	10986	SouthAmerica1	Brazil: Sao Paulo, Mairipora
ncbi-curated	MK583166	31892699	10946	SouthAmerica1	Brazil: Sao Paulo, Sao Paulo
ncbi-curated	MK583167	31892699	10947	SouthAmerica1	Brazil: Sao Paulo, Guarulhos
ncbi-curated	MK583168	31892699	10993	SouthAmerica1	Brazil: Sao Paulo, Sao Paulo
ncbi-curated	MK583169	31892699	10944	SouthAmerica1	Brazil: Sao Paulo, Guarulhos
ncbi-curated	MK583171	31892699	10973	SouthAmerica1	Brazil: Sao Paulo, Guarulhos
ncbi-curated	MK583172	31892699	10996	SouthAmerica1	Brazil: Sao Paulo, Guarulhos
ncbi-curated	MK583173	31892699	10991	SouthAmerica1	Brazil: Sao Paulo, Guarulhos
ncbi-curated	MK583174	31892699	10980	SouthAmerica1	Brazil: Sao Paulo, Aruja
ncbi-curated	MK583175	31892699	10946	SouthAmerica1	Brazil: Sao Paulo, Itaquaquecetuba
ncbi-curated	MK583176	31892699	10945	SouthAmerica1	Brazil: Sao Paulo, Piedade
ncbi-curated	MK583177	31892699	10953	SouthAmerica1	Brazil: Sao Paulo, Guarulhos
ncbi-curated	MK583178	31892699	10945	SouthAmerica1	Brazil: Sao Paulo, Itariri
ncbi-curated	MK583179	31892699	10986	SouthAmerica1	Brazil: Sao Paulo, Ibiuna
ncbi-curated	MK583180	31892699	10946	SouthAmerica1	Brazil: Sao Paulo, Guarulhos
ncbi-curated	MK583181	31892699	10943	SouthAmerica1	Brazil: Sao Paulo, Sao Lourenco da Serra
ncbi-curated	MK583182	31892699	10944	SouthAmerica1	Brazil: Sao Paulo, Guarulhos
ncbi-curated	MK760660	-	10869	SouthAmerica1	Netherlands
ncbi-curated	MK760661	-	10850	SouthAmerica1	Netherlands
ncbi-curated	MK760662	-	10884	SouthAmerica1	Netherlands
ncbi-curated	MK760663	-	10856	SouthAmerica1	Netherlands
ncbi-curated	MK760664	-	10835	SouthAmerica1	Netherlands
ncbi-curated	MK760665	-	10786	SouthAmerica1	Netherlands
ncbi-curated	MK760666	-	10924	SouthAmerica1	Netherlands
ncbi-curated	MK882599	-	9763	SouthAmerica1	Brazil: Itarana, Espirito Santo
ncbi-curated	MK882600	-	10169	SouthAmerica1	Brazil: Silva Jardim, Rio de Janeiro
ncbi-curated	MK882601	-	10169	SouthAmerica1	Brazil: Ibatiba, Espirito Santo
ncbi-curated	MK882602	-	9763	SouthAmerica1	Brazil: Domingos Martins, Espirito Santo
ncbi-curated	MK882603	-	10169	SouthAmerica1	Brazil: Silva Jardim, Rio de Janeiro
ncbi-curated	MK882604	-	10169	SouthAmerica1	Brazil: Brejetuba, Espirito Santo
ncbi-curated	MK882605	-	9763	SouthAmerica1	Brazil: Rio de Janeiro, Rio de Janeiro
ncbi-curated	MK882606	-	9763	SouthAmerica1	Brazil: Campos dos Goytacazes, Rio de Janeiro
ncbi-curated	MK882607	-	10169	SouthAmerica1	Brazil: Rio de Janeiro, Rio de Janeiro
ncbi-curated	MK882608	-	9763	SouthAmerica1	Brazil: Rio de Janeiro, Rio de Janeiro
ncbi-curated	MK882609	-	10169	SouthAmerica1	Brazil: Vitoria, Espirito Santo
ncbi-curated	MK882610	-	10169	SouthAmerica1	Brazil: Guarapari, Espirito Santo
ncbi-curated	MK882611	-	10169	SouthAmerica1	Brazil: Cariacica, Espirito Santo
ncbi-curated	MK882612	-	10169	SouthAmerica1	Brazil: Serra, Espirito Santo
ncbi-curated	MK882613	-	10172	SouthAmerica1	Brazil: Sao Sebastiao do Alto, Rio de Janeiro
ncbi-curated	MK882614	-	10169	SouthAmerica1	Brazil: Carmo, Rio de Janeiro
ncbi-curated	MK882615	-	10104	SouthAmerica1	Brazil: Sao Sebastiao do Alto, Rio de Janeiro
ncbi-curated	MK882616	-	10169	SouthAmerica1	Brazil: Marica, Rio de Janeiro
ncbi-curated	MK882617	-	10169	SouthAmerica1	Brazil: Nova Iguacu, Rio de Janeiro
ncbi-curated	MK882618	-	10169	SouthAmerica1	Brazil: Valenca, Rio de Janeiro
ncbi-curated	MK882619	-	10169	SouthAmerica1	Brazil: Duas Barras, Rio de Janeiro
ncbi-curated	MK882620	-	10169	WestAfrica	Brazil: Rio de Janeiro, Rio de Janeiro
ncbi-curated	MK882621	-	10169	SouthAmerica1	Brazil: Angra dos Reis, Rio de Janeiro
ncbi-curated	MN106241	31412040	10772	WestAfrica	-
ncbi-curated	MN106242	31412040	10784	WestAfrica	-
ncbi-curated	MN117917	32044285	10172	SouthAmerica1	Brazil
ncbi-curated	MN211301	-	10752	WestAfrica	Nigeria
ncbi-curated	MN211302	-	10718	WestAfrica	Nigeria
ncbi-curated	MN211303	-	10645	WestAfrica	Nigeria
ncbi-curated	MN211304	-	10734	WestAfrica	Nigeria
ncbi-curated	MN211305	-	10638	WestAfrica	Nigeria
ncbi-curated	MN211306	-	10798	WestAfrica	Nigeria
ncbi-curated	MN211307	-	10652	WestAfrica	Nigeria
ncbi-curated	MN211308	-	10640	WestAfrica	Nigeria
ncbi-curated	MN211309	-	10564	WestAfrica	Nigeria
ncbi-curated	MN211310	-	10656	WestAfrica	Nigeria
ncbi-curated	MN211311	-	10758	WestAfrica	Nigeria
ncbi-curated	MN506274	30866775	10719	SouthAmerica1	Brazil: Marica-RJ
ncbi-curated	MN506281	30866775	10859	SouthAmerica1	Brazil: Marica-RJ
ncbi-curated	MN604280	32780745	10166	SouthAmerica1	Brazil: Cordeiros, Bahia
ncbi-curated	MN604281	32780745	10167	SouthAmerica1	Brazil: Santa Rita de Cassia, Bahia
ncbi-curated	MN604282	32780745	10167	SouthAmerica1	Brazil: Camacari, Bahia
ncbi-curated	MN604283	32780745	10167	SouthAmerica1	Brazil: Salvador, Bahia
ncbi-curated	MN604284	32780745	10172	SouthAmerica1	Brazil: Pedrao, Bahia
ncbi-curated	MN604285	32780745	10172	SouthAmerica1	Brazil: Ichu, Bahia
ncbi-curated	MN604286	32780745	10172	SouthAmerica1	Brazil: Salvador, Bahia
ncbi-curated	MN604287	32780745	10166	SouthAmerica1	Brazil: Cordeiros, Bahia
ncbi-curated	MN643083	-	10682	SouthAmerica1	Brazil: Teresopolis-RJ
ncbi-curated	MN643085	-	10689	SouthAmerica1	Brazil: Ilha Grande-RJ
ncbi-curated	MN708488	-	10862	WestAfrica	France
ncbi-curated	MN708489	-	10862	WestAfrica	Belgium
ncbi-curated	MN708490	-	10862	WestAfrica	Belgium
ncbi-curated	MN708491	-	10862	WestAfrica	Belgium
ncbi-curated	MN708492	-	10862	WestAfrica	Belgium
ncbi-curated	MN708493	-	10862	WestAfrica	Belgium
ncbi-curated	MN708494	-	10862	WestAfrica	Belgium
ncbi-curated	MN708495	-	10862	WestAfrica	Belgium
